environment;observed_at;base_url;method;endpoint;request_summary;expected_contract_behavior;observed_behavior;evidence_path;methodological_impact;proposed_decision
public;2026-07-12T14:46:17-0300;https://petstore3.swagger.io/api/v3;GET;/openapi.json;retrieve live contract;200 JSON OpenAPI document;200 and bytes equal normative contract;datasets/petstore-feasibility-pilot/raw/public/01_openapi.body.json;no contract drift observed in this window;retain contract with checksum verification
public;2026-07-12T14:46:18-0300;https://petstore3.swagger.io/api/v3;GET;/pet/9120712000019;missing pilot-only ID without credentials;404 Pet not found;404;datasets/petstore-feasibility-pilot/raw/public/02_missing_no_auth.headers.txt;absence oracle confirmed but authentication not enforced;retain 404 oracle and reject authentication enforcement assumption
public;2026-07-12T14:46:19-0300;https://petstore3.swagger.io/api/v3;GET;/pet/9120712000019;missing pilot-only ID with invalid api_key;contract declares api_key or OAuth security and 404 for absent pet;404 rather than authentication error;datasets/petstore-feasibility-pilot/raw/public/03_missing_invalid_api_key.headers.txt;runtime does not demonstrate credential validation;do not use authentication as final oracle
public;2026-07-12T14:46:19-0300;https://petstore3.swagger.io/api/v3;POST;/pet;create exclusive available pet without credentials;200 Pet or 400 or 422;200 with matching ID name photoUrls and status;datasets/petstore-feasibility-pilot/raw/public/04_create_no_auth.body.json;creation works but declared OAuth is not enforced;retain creation and reject authentication enforcement oracle
public;2026-07-12T14:46:20-0300;https://petstore3.swagger.io/api/v3;GET;/pet/912071200001;retrieve immediately after creation without credentials;200 Pet;200 with created fields;datasets/petstore-feasibility-pilot/raw/public/05_get_after_create.body.json;persistence confirmed for pilot window;retain retrieval with unique ID
public;2026-07-12T14:46:21-0300;https://petstore3.swagger.io/api/v3;PUT;/pet;change name and status to pending without credentials;200 updated Pet or documented errors;200 with updated name and pending status;datasets/petstore-feasibility-pilot/raw/public/06_update_no_auth.body.json;update works but declared OAuth is not enforced;retain update and reject authentication enforcement oracle
public;2026-07-12T14:46:21-0300;https://petstore3.swagger.io/api/v3;GET;/pet/912071200001;retrieve immediately after update;200 Pet with persisted state;200 with updated name and pending status;datasets/petstore-feasibility-pilot/raw/public/07_get_after_update.body.json;update persistence confirmed for pilot window;retain update persistence oracle
public;2026-07-12T14:46:22-0300;https://petstore3.swagger.io/api/v3;GET;/pet/findByStatus?status=pending;first pending-filter sample;200 array of Pets;200 array length 4 containing exclusive ID;datasets/petstore-feasibility-pilot/raw/public/08_filter_pending_first.body.json;identity-based filter oracle viable despite shared collection;retain only identity-based assertion
public;2026-07-12T14:46:24-0300;https://petstore3.swagger.io/api/v3;GET;/pet/findByStatus?status=pending;second pending-filter sample;200 array of Pets;200 array length 4 containing exclusive ID;datasets/petstore-feasibility-pilot/raw/public/09_filter_pending_second.body.json;stable across two short-window samples only;retain with unresolved longer-window risk
public;2026-07-12T14:46:25-0300;https://petstore3.swagger.io/api/v3;GET;/pet/findByStatus?status=pilot-invalid-status;invalid status value;400 Invalid status value;400 JSON error;datasets/petstore-feasibility-pilot/raw/public/10_invalid_status.body.json;negative status oracle confirmed;retain 400 invalid-status oracle
public;2026-07-12T14:46:26-0300;https://petstore3.swagger.io/api/v3;GET;/pet/not-an-integer;non-integer path ID;400 Invalid ID supplied;400 JSON error;datasets/petstore-feasibility-pilot/raw/public/11_invalid_id.body.json;negative ID-format oracle confirmed;retain 400 invalid-ID oracle
public;2026-07-12T14:46:26-0300;https://petstore3.swagger.io/api/v3;DELETE;/pet/912071200001;delete exclusive pet without credentials;200 Pet deleted or documented default;200;datasets/petstore-feasibility-pilot/raw/public/12_delete_no_auth.headers.txt;cleanup succeeds but declared OAuth is not enforced;retain cleanup and reject authentication enforcement oracle
public;2026-07-12T14:46:27-0300;https://petstore3.swagger.io/api/v3;GET;/pet/912071200001;retrieve after deletion;404 Pet not found;404;datasets/petstore-feasibility-pilot/raw/public/13_get_after_delete.headers.txt;cleanup confirmed;retain post-delete 404 oracle
public;2026-07-12T14:46:28-0300;https://petstore3.swagger.io/api/v3;DELETE;/pet/912071200001;repeat delete after cleanup;contract documents 200 400 and default but no 404;200;datasets/petstore-feasibility-pilot/raw/public/14_delete_again.headers.txt;absence cannot be inferred from repeated DELETE;reject repeated-delete negative oracle
controlled;2026-07-12T14:48:14-0300;http://127.0.0.1:18080/api/v3;GET;/openapi.json;retrieve container contract;200 JSON OpenAPI document;200 and bytes equal normative contract;datasets/petstore-feasibility-pilot/raw/controlled/01_openapi.body.json;pinned runtime contract matches normative copy;retain pinned image and checksum verification
controlled;2026-07-12T14:48:14-0300;http://127.0.0.1:18080/api/v3;GET;/pet/9120712000029;missing pilot-only ID without credentials;404 Pet not found;404;datasets/petstore-feasibility-pilot/raw/controlled/02_missing_no_auth.headers.txt;absence oracle confirmed but authentication not enforced;retain 404 oracle and reject authentication enforcement assumption
controlled;2026-07-12T14:48:14-0300;http://127.0.0.1:18080/api/v3;GET;/pet/9120712000029;missing pilot-only ID with invalid api_key;contract declares api_key or OAuth security and 404 for absent pet;404 rather than authentication error;datasets/petstore-feasibility-pilot/raw/controlled/03_missing_invalid_api_key.headers.txt;runtime does not demonstrate credential validation;do not use authentication as final oracle
controlled;2026-07-12T14:48:14-0300;http://127.0.0.1:18080/api/v3;POST;/pet;create exclusive available pet without credentials;200 Pet or 400 or 422;200 with matching ID name photoUrls and status;datasets/petstore-feasibility-pilot/raw/controlled/04_create_no_auth.body.json;creation works but declared OAuth is not enforced;retain creation and reject authentication enforcement oracle
controlled;2026-07-12T14:48:14-0300;http://127.0.0.1:18080/api/v3;GET;/pet/912071200002;retrieve immediately after creation without credentials;200 Pet;200 with created fields;datasets/petstore-feasibility-pilot/raw/controlled/05_get_after_create.body.json;persistence confirmed for pilot window;retain retrieval with unique ID
controlled;2026-07-12T14:48:14-0300;http://127.0.0.1:18080/api/v3;PUT;/pet;change name and status to pending without credentials;200 updated Pet or documented errors;200 with updated name and pending status;datasets/petstore-feasibility-pilot/raw/controlled/06_update_no_auth.body.json;update works but declared OAuth is not enforced;retain update and reject authentication enforcement oracle
controlled;2026-07-12T14:48:14-0300;http://127.0.0.1:18080/api/v3;GET;/pet/912071200002;retrieve immediately after update;200 Pet with persisted state;200 with updated name and pending status;datasets/petstore-feasibility-pilot/raw/controlled/07_get_after_update.body.json;update persistence confirmed for pilot window;retain update persistence oracle
